comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_psychosomatic,alle,62,156,218,0.7028,1.9784,-1.2756,-1.4862,53.1336,group,88221,78851
direct_vs_group_psychosomatic,Danke,211,75,286,2.3917,0.9512,1.4406,1.3241,52.9904,direct,88221,78851
direct_vs_group_psychosomatic,Kannst,63,5,68,0.7141,0.0634,0.6507,3.3673,52.246,direct,88221,78851
direct_vs_group_psychosomatic,würde,234,89,323,2.6524,1.1287,1.5237,1.2276,52.2135,direct,88221,78851
direct_vs_group_psychosomatic,bB,3,47,50,0.034,0.5961,-0.5621,-3.9245,51.716,group,88221,78851
direct_vs_group_psychosomatic,Alle,4,50,54,0.0453,0.6341,-0.5888,-3.6503,51.6775,group,88221,78851
direct_vs_group_psychosomatic,Und,71,8,79,0.8048,0.1015,0.7033,2.9104,50.891,direct,88221,78851
direct_vs_group_psychosomatic,Mo,21,86,107,0.238,1.0907,-0.8526,-2.1704,50.0014,group,88221,78851
direct_vs_group_psychosomatic,dann,541,293,834,6.1323,3.7159,2.4165,0.7216,49.6537,direct,88221,78851
direct_vs_group_psychosomatic,Samstag,15,74,89,0.17,0.9385,-0.7685,-2.427,49.5513,group,88221,78851
direct_vs_group_psychosomatic,Kalinor,2,42,44,0.0227,0.5327,-0.51,-4.2495,49.3551,group,88221,78851
direct_vs_group_psychosomatic,Hast,45,1,46,0.5101,0.0127,0.4974,4.7608,49.3385,direct,88221,78851
direct_vs_group_psychosomatic,stabil,4,48,52,0.0453,0.6087,-0.5634,-3.592,48.988,group,88221,78851
direct_vs_group_psychosomatic,machen,176,59,235,1.995,0.7482,1.2467,1.4067,48.5367,direct,88221,78851
direct_vs_group_psychosomatic,fertig,94,18,112,1.0655,0.2283,0.8372,2.1908,48.3332,direct,88221,78851
direct_vs_group_psychosomatic,deine,44,1,45,0.4987,0.0127,0.4861,4.7288,48.1058,direct,88221,78851
direct_vs_group_psychosomatic,vom,36,110,146,0.4081,1.395,-0.987,-1.7601,48.0739,group,88221,78851
direct_vs_group_psychosomatic,Typ,1,37,38,0.0113,0.4692,-0.4579,-4.8058,47.5925,group,88221,78851
direct_vs_group_psychosomatic,eingebracht,1,37,38,0.0113,0.4692,-0.4579,-4.8058,47.5925,group,88221,78851
direct_vs_group_psychosomatic,weißt,37,0,37,0.4194,0.0,0.4194,6.0668,47.2549,direct,88221,78851
