comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_nonadjacent,Hashtag_Schmerzedukation,0,16,16,0.0,0.1839,-0.1839,-5.0645,22.4041,group,88221,87002
direct_vs_group_nonadjacent,LTX,0,16,16,0.0,0.1839,-0.1839,-5.0645,22.4041,group,88221,87002
direct_vs_group_nonadjacent,Tac,0,16,16,0.0,0.1839,-0.1839,-5.0645,22.4041,group,88221,87002
direct_vs_group_nonadjacent,Kalium,5,32,37,0.0567,0.3678,-0.3111,-2.583,22.3639,group,88221,87002
direct_vs_group_nonadjacent,starke,5,32,37,0.0567,0.3678,-0.3111,-2.583,22.3639,group,88221,87002
direct_vs_group_nonadjacent,nachher,35,6,41,0.3967,0.069,0.3278,2.4292,22.2991,direct,88221,87002
direct_vs_group_nonadjacent,bisschen,30,4,34,0.3401,0.046,0.2941,2.7407,22.1436,direct,88221,87002
direct_vs_group_nonadjacent,ne,21,1,22,0.238,0.0115,0.2265,3.8212,22.0853,direct,88221,87002
direct_vs_group_nonadjacent,Bist,16,0,16,0.1814,0.0,0.1814,5.0243,21.9589,direct,88221,87002
direct_vs_group_nonadjacent,deinem,16,0,16,0.1814,0.0,0.1814,5.0243,21.9589,direct,88221,87002
direct_vs_group_nonadjacent,Bin,39,8,47,0.4421,0.092,0.3501,2.1962,21.8418,direct,88221,87002
direct_vs_group_nonadjacent,den,577,423,1000,6.5404,4.862,1.6784,0.4274,21.7163,direct,88221,87002
direct_vs_group_nonadjacent,irgendwie,32,5,37,0.3627,0.0575,0.3053,2.5429,21.6126,direct,88221,87002
direct_vs_group_nonadjacent,PCR,28,73,101,0.3174,0.8391,-0.5217,-1.3869,21.4029,group,88221,87002
direct_vs_group_nonadjacent,Hintergrund,1,20,21,0.0113,0.2299,-0.2185,-3.7927,21.3369,group,88221,87002
direct_vs_group_nonadjacent,entschuldigt,1,20,21,0.0113,0.2299,-0.2185,-3.7927,21.3369,group,88221,87002
direct_vs_group_nonadjacent,wegen,127,63,190,1.4396,0.7241,0.7154,0.9856,21.104,direct,88221,87002
direct_vs_group_nonadjacent,LG,48,13,61,0.5441,0.1494,0.3947,1.825,20.8773,direct,88221,87002
direct_vs_group_nonadjacent,euch,12,45,57,0.136,0.5172,-0.3812,-1.884,20.8102,group,88221,87002
direct_vs_group_nonadjacent,uhr,20,1,21,0.2267,0.0115,0.2152,3.7525,20.8082,direct,88221,87002
direct_vs_group_nonadjacent,gewesen,17,54,71,0.1927,0.6207,-0.428,-1.659,20.7841,group,88221,87002
direct_vs_group_nonadjacent,Stimmung,9,39,48,0.102,0.4483,-0.3462,-2.0759,20.6344,group,88221,87002
direct_vs_group_nonadjacent,meinst,15,0,15,0.17,0.0,0.17,4.9341,20.5864,direct,88221,87002
direct_vs_group_nonadjacent,ruf,15,0,15,0.17,0.0,0.17,4.9341,20.5864,direct,88221,87002
direct_vs_group_nonadjacent,behandelt,4,28,32,0.0453,0.3218,-0.2765,-2.683,20.5836,group,88221,87002
direct_vs_group_nonadjacent,Entlassung,30,75,105,0.3401,0.862,-0.522,-1.3277,20.5555,group,88221,87002
direct_vs_group_nonadjacent,Zi,5,30,35,0.0567,0.3448,-0.2881,-2.4914,20.1617,group,88221,87002
direct_vs_group_nonadjacent,Alles,28,4,32,0.3174,0.046,0.2714,2.6429,19.9157,direct,88221,87002
direct_vs_group_nonadjacent,anrufen,61,21,82,0.6914,0.2414,0.4501,1.4962,19.8181,direct,88221,87002
direct_vs_group_nonadjacent,Spiegel,10,40,50,0.1134,0.4598,-0.3464,-1.9676,19.6943,group,88221,87002
direct_vs_group_nonadjacent,PSYCHE,0,14,14,0.0,0.1609,-0.1609,-4.8781,19.6036,group,88221,87002
direct_vs_group_nonadjacent,SOMA,0,14,14,0.0,0.1609,-0.1609,-4.8781,19.6036,group,88221,87002
direct_vs_group_nonadjacent,aktiven,0,14,14,0.0,0.1609,-0.1609,-4.8781,19.6036,group,88221,87002
