comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_full,zurückhaltend,2,31,33,0.0227,0.3433,-0.3206,-3.6218,29.988,group,88221,90297
direct_vs_group_full,Schmerzen,13,58,71,0.1474,0.6423,-0.495,-2.0819,29.7894,group,88221,90297
direct_vs_group_full,Dich,21,0,21,0.238,0.0,0.238,5.4598,29.6035,direct,88221,90297
direct_vs_group_full,sei,78,164,242,0.8841,1.8162,-0.9321,-1.0338,29.2726,group,88221,90297
direct_vs_group_full,alles,117,50,167,1.3262,0.5537,0.7725,1.2519,29.2332,direct,88221,90297
direct_vs_group_full,bin,205,113,318,2.3237,1.2514,1.0723,0.89,29.1835,direct,88221,90297
direct_vs_group_full,auf,392,569,961,4.4434,6.3014,-1.858,-0.5034,28.8004,group,88221,90297
direct_vs_group_full,Good,4,36,40,0.0453,0.3987,-0.3533,-2.9863,28.7063,group,88221,90297
direct_vs_group_full,könne,8,46,54,0.0907,0.5094,-0.4187,-2.4181,28.6791,group,88221,90297
direct_vs_group_full,vergessen,42,7,49,0.4761,0.0775,0.3986,2.5361,28.5577,direct,88221,90297
direct_vs_group_full,eigentlich,78,26,104,0.8841,0.2879,0.5962,1.6003,28.4324,direct,88221,90297
direct_vs_group_full,von,495,692,1187,5.6109,7.6636,-2.0527,-0.4494,28.4253,group,88221,90297
direct_vs_group_full,distanziert,1,26,27,0.0113,0.2879,-0.2766,-4.1094,28.2979,group,88221,90297
direct_vs_group_full,außer,8,45,53,0.0907,0.4984,-0.4077,-2.3868,27.6399,group,88221,90297
direct_vs_group_full,ah,31,3,34,0.3514,0.0332,0.3182,3.2035,27.4962,direct,88221,90297
direct_vs_group_full,deinen,31,3,34,0.3514,0.0332,0.3182,3.2035,27.4962,direct,88221,90297
direct_vs_group_full,2,95,185,280,1.0768,2.0488,-0.972,-0.9243,27.393,group,88221,90297
direct_vs_group_full,Link,117,52,169,1.3262,0.5759,0.7503,1.1958,27.1907,direct,88221,90297
